x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
7,1,3,2,8,8,67,67,1.721,0,0,48,125,0,
8,1,3,2,8,8,67,67,1.736,0,0,54,131,0,
1,1,3,3,8,8,66,66,1.428,0,0,10,91,0,
2,1,3,3,8,8,67,67,1.55,0,0,21,125,0,
3,1,3,3,8,8,67,67,1.706,0,0,30,107,0,
4,1,3,3,8,8,67,67,1.706,0,0,39,116,0,
5,1,3,3,8,8,67,67,1.779,0,0,48,125,0,
6,1,3,3,8,8,67,67,1.706,0,0,57,134,0,
7,1,3,3,8,8,67,67,1.721,0,0,66,143,0,
8,1,3,3,8,8,67,67,1.736,0,0,75,152,0,
1,1,3,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,3,4,8,8,67,67,1.55,0,0,24,137,0,
3,1,3,4,8,8,67,67,1.706,0,0,36,113,0,
4,1,3,4,8,8,67,67,1.706,0,0,48,125,0,
5,1,3,4,8,8,67,67,1.779,0,0,60,137,0,
6,1,3,4,8,8,67,67,1.706,0,0,72,149,0,
7,1,3,4,8,8,67,67,1.721,0,0,84,161,0,
8,1,3,4,8,8,67,67,1.736,0,0,96,173,0,
1,1,3,5,8,8,66,66,1.428,0,0,10,91,0,
2,1,3,5,8,8,67,67,1.55,0,0,27,149,0,
3,1,3,5,8,8,67,67,1.706,0,0,42,119,0,
4,1,3,5,8,8,67,67,1.706,0,0,57,134,0,
5,1,3,5,8,8,67,67,1.779,0,0,72,149,0,
6,1,3,5,8,8,67,67,1.706,0,0,87,164,0,
7,1,3,5,8,8,67,67,1.721,0,0,102,179,0,
8,1,3,5,8,8,67,67,1.736,0,0,117,194,0,
1,1,3,6,8,8,66,66,1.428,0,0,10,91,0,
2,1,3,6,8,8,67,67,1.55,0,0,30,161,0,
3,1,3,6,8,8,67,67,1.706,0,0,48,125,0,
4,1,3,6,8,8,67,67,1.706,0,0,66,143,0,
5,1,3,6,8,8,67,67,1.779,0,0,84,161,0,
6,1,3,6,8,8,67,67,1.706,0,0,102,179,0,
7,1,3,6,8,8,67,67,1.721,0,0,120,197,0,
8,1,3,6,8,8,67,67,1.736,0,0,138,215,0,
1,1,3,7,8,8,66,66,1.428,0,0,10,91,0,
2,1,3,7,8,8,67,67,1.55,0,0,33,173,0,
3,1,3,7,8,8,67,67,1.706,0,0,54,131,0,
4,1,3,7,8,8,67,67,1.706,0,0,75,152,0,
5,1,3,7,8,8,67,67,1.779,0,0,96,173,0,
6,1,3,7,8,8,67,67,1.706,0,0,117,194,0,
7,1,3,7,8,8,67,67,1.721,0,0,138,215,0,
8,1,3,7,8,8,67,67,1.736,0,0,159,236,0,
1,1,3,8,8,8,66,66,1.428,0,0,10,91,0,
2,1,3,8,8,8,67,67,1.55,0,0,36,185,0,
3,1,3,8,8,8,67,67,1.706,0,0,60,137,0,
4,1,3,8,8,8,67,67,1.706,0,0,84,161,0,
5,1,3,8,8,8,67,67,1.779,0,0,108,185,0,
6,1,3,8,8,8,67,67,1.706,0,0,132,209,0,
